"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVC","HIVC","","","",0,*,"","","","null {[]} {[]}
","HIV.C PrEP visit Logical Model","Logical Model for HIV.C PrEP visit data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVC.reasonForPrepVisit","HIVC.reasonForPrepVisit","","","",1,1,"","","","string {[]} {[]}
","Reason for PrEP visit","Clients reason for the prevention visit","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE1
",,,,"HIVC.reasonForPrepVisit",1,1,"",""
"HIVC.firstTimeCounsellingOnPrep","HIVC.firstTimeCounsellingOnPrep","","","",1,1,"","","","string {[]} {[]}
","First time counselling on PrEP","The client is interested in discussing pre-exposure prophylaxis (PrEP) for the first time","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE2
",,,,"HIVC.firstTimeCounsellingOnPrep",1,1,"",""
"HIVC.pFollowUpAppointmentForPrep","HIVC.pFollowUpAppointmentForPrep","","","",1,1,"","","","string {[]} {[]}
","Follow-up appointment for PrEP","Client is at a follow-up or refill pre-exposure prophylaxis (PrEP) appointment","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE3
",,,,"HIVC.pFollowUpAppointmentForPrep",1,1,"",""
"HIVC.pRestartingPrep","HIVC.pRestartingPrep","","","",1,1,"","","","string {[]} {[]}
","Restarting PrEP","Client has previously taken pre-exposure prophylaxis (PrEP) and may like to restart taking it","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE4
",,,,"HIVC.pRestartingPrep",1,1,"",""
"HIVC.counsellingOnPep","HIVC.counsellingOnPep","","","",1,1,"","","","string {[]} {[]}
","Counselling on PEP","Counselling on post-exposure prophylaxis (PEP)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE5
",,,,"HIVC.counsellingOnPep",1,1,"",""
"HIVC.unscheduledVisitForSideEffects","HIVC.unscheduledVisitForSideEffects","","","",1,1,"","","","string {[]} {[]}
","Unscheduled visit for side effects","Patient visit for management of side effects related to PrEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE6
",,,,"HIVC.unscheduledVisitForSideEffects",1,1,"",""
"HIVC.ThreeMonthPrepVisit","HIVC.ThreeMonthPrepVisit","","","",1,1,"","","","string {[]} {[]}
","3-month PrEP visit","Client is visiting for the recommended 3-month pre-exposure prophylaxis (PrEP) visit","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE7
",,,,"HIVC.ThreeMonthPrepVisit",1,1,"",""
"HIVC.contactWithAndSuspectedExposureToHiv","HIVC.contactWithAndSuspectedExposureToHiv","","","",1,1,"","","","string {[]} {[]}
","Contact with and (suspected) exposure to HIV","The client had suspected or known exposure to HIV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE8
",,,,"HIVC.contactWithAndSuspectedExposureToHiv",1,1,"",""
"HIVC.datetimeOfSuspectedExposureToHiv","HIVC.datetimeOfSuspectedExposureToHiv","","","",1,1,"","","","string {[]} {[]}
","Date/time of suspected exposure to HIV","When the suspect exposure to HIV took place","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE9
",,,,"HIVC.datetimeOfSuspectedExposureToHiv",1,1,"",""
"HIVC.currentlyOnPrep","HIVC.currentlyOnPrep","","","",1,1,"","","","string {[]} {[]}
","Currently on PrEP","The client is currently taking PrEP. Oral pre-exposure prophylaxis (PrEP) of HIV is the use of ARV drugs by people who are not infected with HIV to block the acquisition of HIV.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE10
",,,,"HIVC.currentlyOnPrep",1,1,"",""
"HIVC.prepDosingType","HIVC.prepDosingType","","","",1,1,"","","","string {[]} {[]}
","PrEP dosing type","Way in which pre-exposure prophylaxis (PrEP) is taken (daily or event-driven)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE11
",,,,"HIVC.prepDosingType",1,1,"",""
"HIVC.dailyOralPrep","HIVC.dailyOralPrep","","","",1,1,"","","","string {[]} {[]}
","Daily oral PrEP","Pre-exposure prophylaxis (PrEP) is taken every day","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE12
",,,,"HIVC.dailyOralPrep",1,1,"",""
"HIVC.eventDrivenPrep211","HIVC.eventDrivenPrep211","","","",1,1,"","","","string {[]} {[]}
","Event-driven PrEP (2+1+1)","Event-driven pre-exposure prophylaxis (PrEP) is taken on an even-driven basis (2+1+1)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE13
",,,,"HIVC.eventDrivenPrep211",1,1,"",""
"HIVC.otherPrepDosingType","HIVC.otherPrepDosingType","","","",1,1,"","","","string {[]} {[]}
","Other PrEP dosing type","Other PrEP dosing type","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE14
",,,,"HIVC.otherPrepDosingType",1,1,"",""
"HIVC.otherPrepDosingTypeSpecify","HIVC.otherPrepDosingTypeSpecify","","","",1,1,"","","","string {[]} {[]}
","Other PrEP dosing type (specify)","Other PrEP dosing type (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE15
",,,,"HIVC.otherPrepDosingTypeSpecify",1,1,"",""
"HIVC.usedEventDrivenPrepForAtRiskExposuresOverThePast3Months","HIVC.usedEventDrivenPrepForAtRiskExposuresOverThePast3Months","","","",1,1,"","","","string {[]} {[]}
","Used event-driven PrEP for at risk exposures over the past 3 months","Client reports taking ED-PrEP for at risk exposures over a 3-month period","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE16
",,,,"HIVC.usedEventDrivenPrepForAtRiskExposuresOverThePast3Months",1,1,"",""
"HIVC.currentPrepRegimen","HIVC.currentPrepRegimen","","","",1,1,"","","","string {[]} {[]}
","Current PrEP regimen","HIV pre-exposure prophylaxis (PrEP) regimen","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE17
",,,,"HIVC.currentPrepRegimen",1,1,"",""
"HIVC.tdfFtc","HIVC.tdfFtc","","","",1,1,"","","","string {[]} {[]}
","TDF + FTC","Treated with tenofovir disoproxil fumarate (TDF) and emtricitabine (FTC) pre-exposure prophylaxis (PrEP) regimen (oral PrEP)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE18
",,,,"HIVC.tdfFtc",1,1,"",""
"HIVC.tdf","HIVC.tdf","","","",1,1,"","","","string {[]} {[]}
","TDF","Treated with single-agent tenofovir disoproxil fumarate (TDF) pre-exposure prophylaxis (PrEP) regimen (oral PrEP)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE19
",,,,"HIVC.tdf",1,1,"",""
"HIVC.tdf3Tc","HIVC.tdf3Tc","","","",1,1,"","","","string {[]} {[]}
","TDF + 3TC","Treated with tenofovir disoproxil fumarate (TDF) and lamivudine (3TC) pre-exposure prophylaxis (PrEP) regimen (oral PrEP)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE20
",,,,"HIVC.tdf3Tc",1,1,"",""
"HIVC.otherTdfBasedRegimen","HIVC.otherTdfBasedRegimen","","","",1,1,"","","","string {[]} {[]}
","Other TDF-based regimen","Treated with other tenofovir disoproxil fumarate (TDF)-based regimen (oral PrEP)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE21
",,,,"HIVC.otherTdfBasedRegimen",1,1,"",""
"HIVC.dapivirineVaginalRingDvr","HIVC.dapivirineVaginalRingDvr","","","",1,1,"","","","string {[]} {[]}
","Dapivirine vaginal ring (DVR)","Dapivirine vaginal ring (DVR) for HIV prevention","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE22
",,,,"HIVC.dapivirineVaginalRingDvr",1,1,"",""
