"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVConfiguration","HIVConfiguration","","","",0,*,"","","","null {[]} {[]}
","HIV.Configuration Logical Model","Logical Model for HIV.Configuration data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVConfiguration.populationPrevalenceOfTb","HIVConfiguration.populationPrevalenceOfTb","","","",1,1,"","","","string {[]} {[]}
","Population prevalence of TB","The tuberculosis prevalence in the general population in number of cases per 100 000 persons or greater.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE1
",,,,"HIVConfiguration.populationPrevalenceOfTb",1,1,"",""
"HIVConfiguration.populationPrevalenceOfSoilTransmittedHelminthInfection","HIVConfiguration.populationPrevalenceOfSoilTransmittedHelminthInfection","","","",1,1,"","","","string {[]} {[]}
","Population prevalence of soil-transmitted helminth infection","The percentage of individuals in the general population infected with at least one species of soil-transmitted helminths","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE2
",,,,"HIVConfiguration.populationPrevalenceOfSoilTransmittedHelminthInfection",1,1,"",""
"HIVConfiguration.populationIncidenceOfHivInTheAbsenceOfPrep","HIVConfiguration.populationIncidenceOfHivInTheAbsenceOfPrep","","","",1,1,"","","","string {[]} {[]}
","Population incidence of HIV in the absence of PrEP","HIV incidence number of cases per 100 person–years in the absence of PrEP","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE3
",,,,"HIVConfiguration.populationIncidenceOfHivInTheAbsenceOfPrep",1,1,"",""
"HIVConfiguration.populationPrevalenceOfHiv","HIVConfiguration.populationPrevalenceOfHiv","","","",1,1,"","","","string {[]} {[]}
","Population prevalence of HIV","The proportion of the population that are HIV-positive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE4
",,,,"HIVConfiguration.populationPrevalenceOfHiv",1,1,"",""
"HIVConfiguration.prevalenceOfPretreatmentNnrtiDrugResistance","HIVConfiguration.prevalenceOfPretreatmentNnrtiDrugResistance","","","",1,1,"","","","string {[]} {[]}
","Prevalence of pretreatment NNRTI drug resistance","Prevalence of pretreatment HIV drug resistance to NNRTIs among people initiating first-line ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE5
",,,,"HIVConfiguration.prevalenceOfPretreatmentNnrtiDrugResistance",1,1,"",""
"HIVConfiguration.malariaEndemicSetting","HIVConfiguration.malariaEndemicSetting","","","",1,1,"","","","string {[]} {[]}
","Malaria-endemic setting","Whether the setting is a malaria-endemic setting","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE6
",,,,"HIVConfiguration.malariaEndemicSetting",1,1,"",""
"HIVConfiguration.populationPrevalenceOfSyphilis","HIVConfiguration.populationPrevalenceOfSyphilis","","","",1,1,"","","","string {[]} {[]}
","Population prevalence of syphilis","The proportion of the population with syphilis","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE7
",,,,"HIVConfiguration.populationPrevalenceOfSyphilis",1,1,"",""
"HIVConfiguration.populationPrevalenceOfHepatitisB","HIVConfiguration.populationPrevalenceOfHepatitisB","","","",1,1,"","","","string {[]} {[]}
","Population prevalence of hepatitis B","The proportion of hepatitis B surface antigen (HBsAg) seroprevalence in the general population","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE8
",,,,"HIVConfiguration.populationPrevalenceOfHepatitisB",1,1,"",""
"HIVConfiguration.populationPrevalenceOfHepatitisC","HIVConfiguration.populationPrevalenceOfHepatitisC","","","",1,1,"","","","string {[]} {[]}
","Population prevalence of hepatitis C","The proportion of hepatitis C virus (HCV) antibody seroprevalence in the general population","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE9
",,,,"HIVConfiguration.populationPrevalenceOfHepatitisC",1,1,"",""
"HIVConfiguration.prevalenceOfHivInTheCatchmentArea","HIVConfiguration.prevalenceOfHivInTheCatchmentArea","","","",1,1,"","","","string {[]} {[]}
","Prevalence of HIV in the catchment area","The proportion of the population from the health facilitys catchment area that are HIV-positive (estimated)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE10
",,,,"HIVConfiguration.prevalenceOfHivInTheCatchmentArea",1,1,"",""
"HIVConfiguration.ultrasoundAvailableAtTheHealthFacility","HIVConfiguration.ultrasoundAvailableAtTheHealthFacility","","","",1,1,"","","","string {[]} {[]}
","Ultrasound available at the health facility","Whether an ultrasound machine is available and functional in the facility and a trained health worker is available to use it","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE11
",,,,"HIVConfiguration.ultrasoundAvailableAtTheHealthFacility",1,1,"",""
"HIVConfiguration.hivBurdenOfTheSetting","HIVConfiguration.hivBurdenOfTheSetting","","","",1,1,"","","","string {[]} {[]}
","HIV burden of the setting","HIV burden of the setting (high or low) based on the national HIV prevalence or where the HIV prevalence and/or incidence in a geographical setting is higher than national prevalence and, therefore, needs priority in the HIV response","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE12
",,,,"HIVConfiguration.hivBurdenOfTheSetting",1,1,"",""
"HIVConfiguration.highHivBurdenSetting","HIVConfiguration.highHivBurdenSetting","","","",1,1,"","","","string {[]} {[]}
","High HIV burden setting","Settings with >5% national HIV prevalence and subpopulations and geographic settings where HIV prevalence and/or incidence is higher than nationally.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE13
",,,,"HIVConfiguration.highHivBurdenSetting",1,1,"",""
"HIVConfiguration.lowHivBurdenSetting","HIVConfiguration.lowHivBurdenSetting","","","",1,1,"","","","string {[]} {[]}
","Low HIV burden setting","Settings with <5% HIV national prevalence but where certain populations (primarily key populations and their partners) and geographic settings may have higher HIV prevalence and/or incidence than nationally and, therefore, need priority in the HIV response","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE14
",,,,"HIVConfiguration.lowHivBurdenSetting",1,1,"",""
"HIVConfiguration.hpvDnaTestingOperationalAtTheHealthFacility","HIVConfiguration.hpvDnaTestingOperationalAtTheHealthFacility","","","",1,1,"","","","string {[]} {[]}
","HPV DNA testing operational at the health facility","Is HPV DNA testing operational at the health facility for cervical cancer screening?","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE15
",,,,"HIVConfiguration.hpvDnaTestingOperationalAtTheHealthFacility",1,1,"",""
"HIVConfiguration.routineViralLoadTestingIsAvailable","HIVConfiguration.routineViralLoadTestingIsAvailable","","","",1,1,"","","","string {[]} {[]}
","Routine viral load testing is available","Routine viral load testing is available in the facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE16
",,,,"HIVConfiguration.routineViralLoadTestingIsAvailable",1,1,"",""
"HIVConfiguration.healthFacilityId","HIVConfiguration.healthFacilityId","","","",1,1,"","","","string {[]} {[]}
","Health facility ID","Unique ID of the health facility that recorded the client. This ID could represent a universal health facility ID, if used in the country. Alternatively this ID can also be generated by the national surveillance system and assigned to reporting facility.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE17
",,,,"HIVConfiguration.healthFacilityId",1,1,"",""
"HIVConfiguration.tbTreatingFacilityId","HIVConfiguration.tbTreatingFacilityId","","","",1,1,"","","","string {[]} {[]}
","TB treating facility ID","The facility where the client is receiving tuberculosis (TB) treatment","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE18
",,,,"HIVConfiguration.tbTreatingFacilityId",1,1,"",""
"HIVConfiguration.otherPriorityPopulations","HIVConfiguration.otherPriorityPopulations","","","",1,1,"","","","string {[]} {[]}
","Other priority populations","Other populations of priority of HIV prevention and care in local context (provided during adaptation)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE19
",,,,"HIVConfiguration.otherPriorityPopulations",1,1,"",""
"HIVConfiguration.reportingPeriodEndDate","HIVConfiguration.reportingPeriodEndDate","","","",1,1,"","","","string {[]} {[]}
","Reporting period end date","End date of the reporting period","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE20
",,,,"HIVConfiguration.reportingPeriodEndDate",1,1,"",""
"HIVConfiguration.reportingPeriodStartDate","HIVConfiguration.reportingPeriodStartDate","","","",1,1,"","","","string {[]} {[]}
","Reporting period start date","Start date of the reporting period","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE21
",,,,"HIVConfiguration.reportingPeriodStartDate",1,1,"",""
"HIVConfiguration.reportingDate","HIVConfiguration.reportingDate","","","",1,1,"","","","string {[]} {[]}
","Reporting date","Reporting date, for surveys performed on a specific date","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.Configuration#DE22
",,,,"HIVConfiguration.reportingDate",1,1,"",""
