"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVG","HIVG","","","",0,*,"","","","null {[]} {[]}
","HIV.G Diagnostics Logical Model","Logical Model for HIV.G Diagnostics data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVG.cd4Count","HIVG.cd4Count","","","",1,1,"","","","string {[]} {[]}
","CD4 count","CD4 cell count in cells/mm^3","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE1
",,,,"HIVG.cd4Count",1,1,"",""
"HIVG.cd4CellPercentage","HIVG.cd4CellPercentage","","","",1,1,"","","","string {[]} {[]}
","CD4 cell percentage","CD4 cell percentage","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE2
",,,,"HIVG.cd4CellPercentage",1,1,"",""
"HIVG.baselineCd4Count","HIVG.baselineCd4Count","","","",1,1,"","","","string {[]} {[]}
","Baseline CD4 count","CD4 result from first CD4 test performed (such as at treatment initiation), also may be called CD4 at ART initiation or at ART start","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE3
",,,,"HIVG.baselineCd4Count",1,1,"",""
"HIVG.dateOfBaselineCd4CountSampleCollection","HIVG.dateOfBaselineCd4CountSampleCollection","","","",1,1,"","","","string {[]} {[]}
","Date of baseline CD4 count sample collection","Date and time when baseline CD4 count test sample was collected","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE4
",,,,"HIVG.dateOfBaselineCd4CountSampleCollection",1,1,"",""
"HIVG.lateArtInitiation","HIVG.lateArtInitiation","","","",1,1,"","","","string {[]} {[]}
","Late ART initiation","The clients first CD4 count from baseline CD4 test performed (such as at treatment initiation) was a count of <200 cells/mm3","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE5
",,,,"HIVG.lateArtInitiation",1,1,"",""
"HIVG.dateOfCd4SampleCollection","HIVG.dateOfCd4SampleCollection","","","",1,1,"","","","string {[]} {[]}
","Date of CD4 sample collection","Date sample to be used for CD4 count was collected","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE6
",,,,"HIVG.dateOfCd4SampleCollection",1,1,"",""
"HIVG.viralLoadTestConducted","HIVG.viralLoadTestConducted","","","",1,1,"","","","string {[]} {[]}
","Viral load test conducted","A viral load test was performed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE7
",,,,"HIVG.viralLoadTestConducted",1,1,"",""
"HIVG.dateOfViralLoadSampleCollection","HIVG.dateOfViralLoadSampleCollection","","","",1,1,"","","","string {[]} {[]}
","Date of viral load sample collection","Date and time when the sample was collected to test the clients HIV viral load","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE8
",,,,"HIVG.dateOfViralLoadSampleCollection",1,1,"",""
"HIVG.dateOfFirstViralLoadSampleCollection","HIVG.dateOfFirstViralLoadSampleCollection","","","",1,1,"","","","string {[]} {[]}
","Date of first viral load sample collection","Date and time when the sample was collected to test the clients HIV viral load for the first time","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE9
",,,,"HIVG.dateOfFirstViralLoadSampleCollection",1,1,"",""
"HIVG.dateViralLoadSampleSent","HIVG.dateViralLoadSampleSent","","","",1,1,"","","","string {[]} {[]}
","Date viral load sample sent","Date viral load sample sent to the lab","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE10
",,,,"HIVG.dateViralLoadSampleSent",1,1,"",""
"HIVG.firstViralLoadTestResult","HIVG.firstViralLoadTestResult","","","",1,1,"","","","string {[]} {[]}
","First viral load test result","Result from the initial viral load test in number of copies/mL","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.G#DE11
",,,,"HIVG.firstViralLoadTestResult",1,1,"",""
