"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVB","HIVB","","","",0,*,"","","","null {[]} {[]}
","HIV.B HTS visit Logical Model","Logical Model for HIV.B HTS visit data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVB.reasonForVisit","HIVB.reasonForVisit","","","",1,1,"","","","string {[]} {[]}
","Reason for visit","Reason for HIV testing services visit","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE1
",,,,"HIVB.reasonForVisit",1,1,"",""
"HIVB.firstTimeHivTest","HIVB.firstTimeHivTest","","","",1,1,"","","","string {[]} {[]}
","First-time HIV test","First encounter for screening for human immunodeficiency virus","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE2
",,,,"HIVB.firstTimeHivTest",1,1,"",""
"HIVB.retestingForHiv","HIVB.retestingForHiv","","","",1,1,"","","","string {[]} {[]}
","Retesting for HIV","Retesting for human immunodeficiency virus","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE3
",,,,"HIVB.retestingForHiv",1,1,"",""
"HIVB.hivTestingServicesVisit","HIVB.hivTestingServicesVisit","","","",1,1,"","","","string {[]} {[]}
","HIV testing services visit","Client attending facility for HIV testing services visit","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE4
",,,,"HIVB.hivTestingServicesVisit",1,1,"",""
"HIVB.referredThroughPartnerServices","HIVB.referredThroughPartnerServices","","","",1,1,"","","","string {[]} {[]}
","Referred through partner services","Client reported coming to the facility after receiving a provider-assisted referral or patient referral from a contact or partner","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE5
",,,,"HIVB.referredThroughPartnerServices",1,1,"",""
"HIVB.partnerOrContactOfAnIndexCase","HIVB.partnerOrContactOfAnIndexCase","","","",1,1,"","","","string {[]} {[]}
","Partner or contact of an index case","The client is a contact or partner of a person diagnosed with HIV (an index case)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE6
",,,,"HIVB.partnerOrContactOfAnIndexCase",1,1,"",""
"HIVB.partnerOrContactOfAnHivTestingClientNonIndexCase","HIVB.partnerOrContactOfAnHivTestingClientNonIndexCase","","","",1,1,"","","","string {[]} {[]}
","Partner or contact of an HIV testing client (non-index case)","The client is a contact or partner identified through partner or social network services, but is not known to be a partner of an index-case","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE7
",,,,"HIVB.partnerOrContactOfAnHivTestingClientNonIndexCase",1,1,"",""
"HIVB.typeOfContactOrPartnerForPartnerServices","HIVB.typeOfContactOrPartnerForPartnerServices","","","",1,1,"","","","string {[]} {[]}
","Type of contact or partner for partner services","Clients relationship to the person that referred the client for partner services or family services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE8
",,,,"HIVB.typeOfContactOrPartnerForPartnerServices",1,1,"",""
"HIVB.biologicalChild","HIVB.biologicalChild","","","",1,1,"","","","string {[]} {[]}
","Biological child","Client is the biological child of the person that referred the client for family services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE9
",,,,"HIVB.biologicalChild",1,1,"",""
"HIVB.drugInjectingPartner","HIVB.drugInjectingPartner","","","",1,1,"","","","string {[]} {[]}
","Drug-injecting partner","Client is a drug-injecting partner of the person that referred the client for partner services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE10
",,,,"HIVB.drugInjectingPartner",1,1,"",""
"HIVB.sexualPartner","HIVB.sexualPartner","","","",1,1,"","","","string {[]} {[]}
","Sexual partner","Client is a sexual partner of the person that referred the client for partner services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE11
",,,,"HIVB.sexualPartner",1,1,"",""
"HIVB.socialContact","HIVB.socialContact","","","",1,1,"","","","string {[]} {[]}
","Social contact","Client is a social contact of the person that referred the client for social-network services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE12
",,,,"HIVB.socialContact",1,1,"",""
"HIVB.contactWithAndSuspectedExposureToHiv","HIVB.contactWithAndSuspectedExposureToHiv","","","",1,1,"","","","string {[]} {[]}
","Contact with and (suspected) exposure to HIV","When the client is reported to have had suspected exposure to HIV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE13
",,,,"HIVB.contactWithAndSuspectedExposureToHiv",1,1,"",""
"HIVB.datetimeOfSuspectedExposureToHiv","HIVB.datetimeOfSuspectedExposureToHiv","","","",1,1,"","","","string {[]} {[]}
","Date/time of suspected exposure to HIV","Date and time when the client had suspected exposure to HIV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE14
",,,,"HIVB.datetimeOfSuspectedExposureToHiv",1,1,"",""
"HIVB.testingEntryPoint","HIVB.testingEntryPoint","","","",1,1,"","","","string {[]} {[]}
","Testing entry point","Whether testing is happening in the community or at a facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE15
",,,,"HIVB.testingEntryPoint",1,1,"",""
"HIVB.communityLevelTesting","HIVB.communityLevelTesting","","","",1,1,"","","","string {[]} {[]}
","Community-level testing","Testing is happening in the community, which includes mobile testing","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE16
",,,,"HIVB.communityLevelTesting",1,1,"",""
"HIVB.facilityLevelTesting","HIVB.facilityLevelTesting","","","",1,1,"","","","string {[]} {[]}
","Facility-level testing","Where the testing is happening – at a facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE17
",,,,"HIVB.facilityLevelTesting",1,1,"",""
"HIVB.entryPointForCommunityLevelTesting","HIVB.entryPointForCommunityLevelTesting","","","",1,1,"","","","string {[]} {[]}
","Entry point for community-level testing","Specific point in the community where testing is happening","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE18
",,,,"HIVB.entryPointForCommunityLevelTesting",1,1,"",""
"HIVB.mobileTesting","HIVB.mobileTesting","","","",1,1,"","","","string {[]} {[]}
","Mobile testing (e.g. through vans or temporary testing facilities)","The client tested through mobile testing, such as through vans or temporary testing facilities","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE19
",,,,"HIVB.mobileTesting",1,1,"",""
"HIVB.voluntaryCounsellingAndTestingCentres","HIVB.voluntaryCounsellingAndTestingCentres","","","",1,1,"","","","string {[]} {[]}
","Voluntary counselling and testing centres (not within a health facility setting)","The client tested at a voluntary counselling and testing centre (not in a health facility setting)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE20
",,,,"HIVB.voluntaryCounsellingAndTestingCentres",1,1,"",""
"HIVB.otherCommunityBasedTesting","HIVB.otherCommunityBasedTesting","","","",1,1,"","","","string {[]} {[]}
","Other community-based testing","The client tested through another type of community-based testing","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE21
",,,,"HIVB.otherCommunityBasedTesting",1,1,"",""
"HIVB.entryPointForFacilityLevelTesting","HIVB.entryPointForFacilityLevelTesting","","","",1,1,"","","","string {[]} {[]}
","Entry point for facility-level testing","Specific point where testing is happening at a facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE22
",,,,"HIVB.entryPointForFacilityLevelTesting",1,1,"",""
"HIVB.providerInitiatedTestedInAClinicOrEmergencyFacility","HIVB.providerInitiatedTestedInAClinicOrEmergencyFacility","","","",1,1,"","","","string {[]} {[]}
","Provider-initiated tested in a clinic or emergency facility","The client tested though provider-initiated HIV testing & counselling, which could be at an emergency facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE23
",,,,"HIVB.providerInitiatedTestedInAClinicOrEmergencyFacility",1,1,"",""
"HIVB.antenatalCareClinic","HIVB.antenatalCareClinic","","","",1,1,"","","","string {[]} {[]}
","Antenatal care clinic","The client tested at an antenatal care clinic, including labour and delivery","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE24
",,,,"HIVB.antenatalCareClinic",1,1,"",""
"HIVB.voluntaryCounsellingAndTestingWithinAHealthFacilitySetting","HIVB.voluntaryCounsellingAndTestingWithinAHealthFacilitySetting","","","",1,1,"","","","string {[]} {[]}
","Voluntary counselling and testing (within a health facility setting)","The client tested through voluntary counselling and testing (within a health facility setting)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE25
",,,,"HIVB.voluntaryCounsellingAndTestingWithinAHealthFacilitySetting",1,1,"",""
"HIVB.familyPlanningClinic","HIVB.familyPlanningClinic","","","",1,1,"","","","string {[]} {[]}
","Family planning clinic","The client tested at a family planning clinic","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE26
",,,,"HIVB.familyPlanningClinic",1,1,"",""
