"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVD","HIVD","","","",0,*,"","","","null {[]} {[]}
","HIV.D Care-Treatment Logical Model","Logical Model for HIV.D Care-Treatment data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVD.reasonForVisit","HIVD.reasonForVisit","","","",1,1,"","","","string {[]} {[]}
","Reason for visit","Whether visit was scheduled or unscheduled, clinical only, or for ARV drug pick-up","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE1
",,,,"HIVD.reasonForVisit",1,1,"",""
"HIVD.firstClinicalVisit","HIVD.firstClinicalVisit","","","",1,1,"","","","string {[]} {[]}
","First clinical visit","The clients first appointment for clinical care by a provider at the facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE2
",,,,"HIVD.firstClinicalVisit",1,1,"",""
"HIVD.clinicalVisit","HIVD.clinicalVisit","","","",1,1,"","","","string {[]} {[]}
","Clinical visit","Appointment for clinical care by a provider","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE3
",,,,"HIVD.clinicalVisit",1,1,"",""
"HIVD.artInitiation","HIVD.artInitiation","","","",1,1,"","","","string {[]} {[]}
","ART initiation","Appointment for initiation of ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE4
",,,,"HIVD.artInitiation",1,1,"",""
"HIVD.artDrugPickUp","HIVD.artDrugPickUp","","","",1,1,"","","","string {[]} {[]}
","ART drug pick up","Appointment for an antiretroviral drug pick up","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE5
",,,,"HIVD.artDrugPickUp",1,1,"",""
"HIVD.issuesAndConcerns","HIVD.issuesAndConcerns","","","",1,1,"","","","string {[]} {[]}
","Issues and concerns","Visit to address issues and concerns","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE6
",,,,"HIVD.issuesAndConcerns",1,1,"",""
"HIVD.postTreatmentFUVisitForCervicalCancer","HIVD.postTreatmentFUVisitForCervicalCancer","","","",1,1,"","","","string {[]} {[]}
","Post-treatment follow-up visit for cervical precancer lesions or invasive cervical cancer","Appointment for a post-treatment follow-up visit for cervical precancer lesions or invasive cervical cancer","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE7
",,,,"HIVD.postTreatmentFUVisitForCervicalCancer",1,1,"",""
"HIVD.scheduledVisit","HIVD.scheduledVisit","","","",1,1,"","","","string {[]} {[]}
","Scheduled visit","Is this is a scheduled visit?","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE8
",,,,"HIVD.scheduledVisit",1,1,"",""
"HIVD.bodyTemperature","HIVD.bodyTemperature","","","",1,1,"","","","string {[]} {[]}
","Body temperature","Temperature of the client in Celsius","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE9
",,,,"HIVD.bodyTemperature",1,1,"",""
"HIVD.respiratoryRate","HIVD.respiratoryRate","","","",1,1,"","","","string {[]} {[]}
","Respiratory rate","The number of breaths per minute","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE10
",,,,"HIVD.respiratoryRate",1,1,"",""
"HIVD.heartRate","HIVD.heartRate","","","",1,1,"","","","string {[]} {[]}
","Heart rate","The number of heartbeats per minute","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE11
",,,,"HIVD.heartRate",1,1,"",""
"HIVD.bodyHeight","HIVD.bodyHeight","","","",1,1,"","","","string {[]} {[]}
","Body height","The clients height in centimetres","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE12
",,,,"HIVD.bodyHeight",1,1,"",""
"HIVD.bodyWeight","HIVD.bodyWeight","","","",1,1,"","","","string {[]} {[]}
","Body weight","The clients current weight in kilograms","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE13
",,,,"HIVD.bodyWeight",1,1,"",""
"HIVD.systolicBloodPressure","HIVD.systolicBloodPressure","","","",1,1,"","","","string {[]} {[]}
","Systolic blood pressure","Systolic blood pressure (SBP) in mmHg","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE14
",,,,"HIVD.systolicBloodPressure",1,1,"",""
"HIVD.diastolicBloodPressure","HIVD.diastolicBloodPressure","","","",1,1,"","","","string {[]} {[]}
","Diastolic blood pressure","Diastolic blood pressure (DBP) in mmHg","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE15
",,,,"HIVD.diastolicBloodPressure",1,1,"",""
"HIVD.bloodPressureCannotBeTaken","HIVD.bloodPressureCannotBeTaken","","","",1,1,"","","","string {[]} {[]}
","Blood pressure cannot be taken","If the clients blood pressure cannot be taken, this should be indicated here. Otherwise, blood pressure should be measured.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE16
",,,,"HIVD.bloodPressureCannotBeTaken",1,1,"",""
"HIVD.signsOfSeriousIllness","HIVD.signsOfSeriousIllness","","","",1,1,"","","","string {[]} {[]}
","Signs of serious illness","Signs that may indicate the client has a serious illness and needs triage or an emergency referral","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE17
",,,,"HIVD.signsOfSeriousIllness",1,1,"",""
"HIVD.feverOf39COrGreater","HIVD.feverOf39COrGreater","","","",1,1,"","","","string {[]} {[]}
","Fever of 39 C or greater","Client has a fever with a measured temperature of 102.2 F/39 C or greater","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE18
",,,,"HIVD.feverOf39COrGreater",1,1,"",""
"HIVD.tachycardia","HIVD.tachycardia","","","",1,1,"","","","string {[]} {[]}
","Tachycardia","Heart rate above a rate per minute based on age","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE19
",,,,"HIVD.tachycardia",1,1,"",""
"HIVD.tachypnea","HIVD.tachypnea","","","",1,1,"","","","string {[]} {[]}
","Tachypnea","Respiratory rate above a number of breaths per minute based on age","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE20
",,,,"HIVD.tachypnea",1,1,"",""
"HIVD.unableToWalkUnaided","HIVD.unableToWalkUnaided","","","",1,1,"","","","string {[]} {[]}
","Unable to walk unaided","Client is not able to walk without help","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE21
",,,,"HIVD.unableToWalkUnaided",1,1,"",""
"HIVD.lethargy","HIVD.lethargy","","","",1,1,"","","","string {[]} {[]}
","Lethargy","Client is exhibiting lethargy as a sign of serious illness","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE22
",,,,"HIVD.lethargy",1,1,"",""
"HIVD.unconsciousness","HIVD.unconsciousness","","","",1,1,"","","","string {[]} {[]}
","Unconsciousness","Client is currently unconscious","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE23
",,,,"HIVD.unconsciousness",1,1,"",""
"HIVD.convulsions","HIVD.convulsions","","","",1,1,"","","","string {[]} {[]}
","Convulsions","Client is convulsing","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE24
",,,,"HIVD.convulsions",1,1,"",""
"HIVD.unableToDrink","HIVD.unableToDrink","","","",1,1,"","","","string {[]} {[]}
","Unable to drink","Child is not able to drink","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE25
",,,,"HIVD.unableToDrink",1,1,"",""
"HIVD.unableToBreastfeed","HIVD.unableToBreastfeed","","","",1,1,"","","","string {[]} {[]}
","Unable to breastfeed","Infant or child is not able to breastfeed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE26
",,,,"HIVD.unableToBreastfeed",1,1,"",""
"HIVD.repeatedVomiting","HIVD.repeatedVomiting","","","",1,1,"","","","string {[]} {[]}
","Repeated vomiting","Client is repeatedly vomiting","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE27
",,,,"HIVD.repeatedVomiting",1,1,"",""
"HIVD.headache","HIVD.headache","","","",1,1,"","","","string {[]} {[]}
","Headache","Client is exhibiting a headache","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE28
",,,,"HIVD.headache",1,1,"",""
"HIVD.otherSignOfSeriousIllness","HIVD.otherSignOfSeriousIllness","","","",1,1,"","","","string {[]} {[]}
","Other sign of serious illness","Client is exhibiting another sign of a serious illness","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE29
",,,,"HIVD.otherSignOfSeriousIllness",1,1,"",""
"HIVD.otherSignOfSeriousIllnessSpecify","HIVD.otherSignOfSeriousIllnessSpecify","","","",1,1,"","","","string {[]} {[]}
","Other sign of serious illness (specify)","Client is exhibiting another sign of a serious illness (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE30
",,,,"HIVD.otherSignOfSeriousIllnessSpecify",1,1,"",""
"HIVD.currentlyPregnant","HIVD.currentlyPregnant","","","",1,1,"","","","string {[]} {[]}
","Currently pregnant","Client is currently pregnant","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE31
",,,,"HIVD.currentlyPregnant",1,1,"",""
"HIVD.breastfeeding","HIVD.breastfeeding","","","",1,1,"","","","string {[]} {[]}
","Breastfeeding","Client is giving infant breast milk","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE32
",,,,"HIVD.breastfeeding",1,1,"",""
"HIVD.numberOfPregnanciesGravida","HIVD.numberOfPregnanciesGravida","","","",1,1,"","","","string {[]} {[]}
","Number of pregnancies (gravida)","Total number of times the woman has been pregnant (gravida)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE33
",,,,"HIVD.numberOfPregnanciesGravida",1,1,"",""
"HIVD.numberOfMiscarriagesAndOrAbortions","HIVD.numberOfMiscarriagesAndOrAbortions","","","",1,1,"","","","string {[]} {[]}
","Number of miscarriages and/or abortions","Total number of pregnancies lost/ended due to miscarriages and/or abortions before 22 weeks/5 months","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE34
",,,,"HIVD.numberOfMiscarriagesAndOrAbortions",1,1,"",""
"HIVD.numberOfLiveBirths","HIVD.numberOfLiveBirths","","","",1,1,"","","","string {[]} {[]}
","Number of live births","Total number of live births after 22 weeks","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE35
",,,,"HIVD.numberOfLiveBirths",1,1,"",""
"HIVD.parity","HIVD.parity","","","",1,1,"","","","string {[]} {[]}
","Parity","Calculated parity is the total number of live and stillbirths","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE36
",,,,"HIVD.parity",1,1,"",""
"HIVD.serodiscordantPartner","HIVD.serodiscordantPartner","","","",1,1,"","","","string {[]} {[]}
","Serodiscordant partner","Clients HIV status is different from a current partners HIV status","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE37
",,,,"HIVD.serodiscordantPartner",1,1,"",""
"HIVD.onArt","HIVD.onArt","","","",1,1,"","","","string {[]} {[]}
","On ART","Client is currently taking ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE38
",,,,"HIVD.onArt",1,1,"",""
"HIVD.artStartDate","HIVD.artStartDate","","","",1,1,"","","","string {[]} {[]}
","ART start date","The date on which the client started or restarted ART","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D#DE39
",,,,"HIVD.artStartDate",1,1,"",""
