Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.smart-ig-empty.json	14927	-	0	0	0	0	0	0	7	113	0	0	0	0	0	0	0	0	0	0	177	99	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-HIV.A.json	8413	18	1	0	1	1	0	0	0	43	0	0	0	0	0	0	0	1	0	0	80	1690	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIV.B.json	52819	78	1	0	0	0	0	0	3	110	0	0	0	0	0	0	0	1	0	0	328	340	0	0	0	12	0	0
fsh-generated/resources/CodeSystem-HIV.C.json	29922	39	0	0	0	0	0	0	2	57	0	0	1	0	0	0	0	0	0	0	181	112	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-HIV.Configuration.json	5153	7	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	44	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIV.D.json	176031	193	1	0	0	0	0	0	6	552	0	0	1	0	0	0	0	2	0	0	1118	604	0	0	0	43	0	1
fsh-generated/resources/CodeSystem-HIV.EF.json	45433	47	1	0	0	0	0	0	2	76	0	0	0	0	0	0	0	1	0	0	253	117	0	0	0	8	0	1
fsh-generated/resources/CodeSystem-HIV.G.json	12267	16	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	71	52	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-HIV.H.json	13235	15	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	91	52	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-HIV.I.json	3713	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	35	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIV.Prevention.json	5108	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	35	35	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-HIV.BHTSVisit.json	96493	117	0	0	0	0	0	0	8	21544	0	0	0	0	0	0	0	2	0	0	679	256	0	0	0	11	0	1
fsh-generated/resources/ConceptMap-HIV.D.HIVTB.json	47190	57	0	0	0	0	0	0	7	10825	0	0	0	0	0	0	0	0	0	0	319	122	0	0	0	5	0	1
fsh-generated/resources/ConceptMap-HIV.EF.PMTCT.json	97215	118	0	0	0	0	0	0	13	21190	0	0	0	0	0	0	0	1	0	0	652	225	0	0	0	8	0	1
fsh-generated/resources/ConceptMap-HIV.Prevention.json	8587	11	1	0	0	0	0	0	1	1523	0	0	0	0	0	0	0	1	0	0	65	34	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-HIVARegistration.json	19187	38	0	0	0	0	0	0	3	4078	0	0	0	0	0	0	0	0	0	0	127	55	0	0	0	2	0	1
fsh-generated/resources/ConceptMap-HIVCPrEP.json	87276	107	0	0	0	0	0	0	10	19523	0	0	0	0	0	0	0	1	0	0	589	199	0	0	0	8	0	1
fsh-generated/resources/ConceptMap-HIVConfiguration.json	981	3	0	0	0	0	0	0	1	70	0	0	0	0	0	0	0	0	0	0	13	14	0	1	0	0	0	0
fsh-generated/resources/ConceptMap-HIVDCareTreatment.json	363969	440	0	0	0	0	0	0	47	89615	0	0	0	0	0	0	0	4	0	0	2486	913	0	0	0	36	0	4
fsh-generated/resources/ConceptMap-HIVGDiagnostics.json	27774	35	0	0	0	0	0	0	4	3764	0	0	0	0	0	0	0	1	0	0	194	83	0	0	0	3	0	1
fsh-generated/resources/ConceptMap-HIVHFollowUp.json	24806	31	0	0	0	0	0	0	3	4782	0	0	0	0	0	0	0	0	0	0	172	79	0	0	0	2	0	0
fsh-generated/resources/ConceptMap-HIVIReferral.json	8284	12	0	0	0	0	0	0	1	1564	0	0	0	0	0	0	0	0	0	0	62	37	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-HIVA.json	27321	28	0	0	0	0	0	72	0	156	0	0	0	0	0	1	0	1	0	0	357	810	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-HIVB.json	173235	182	0	0	0	0	0	447	0	480	0	0	1	0	0	0	0	4	0	0	2220	1673	0	0	0	32	0	2
fsh-generated/resources/StructureDefinition-HIVC.json	92206	84	0	0	0	0	0	251	0	275	0	0	1	0	0	0	0	3	0	0	1124	806	0	0	0	17	0	1
fsh-generated/resources/StructureDefinition-HIVConfiguration.json	14825	13	0	0	0	0	0	36	0	36	0	0	0	0	0	0	0	0	0	0	184	233	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-HIVD.json	497848	449	0	0	0	0	0	1313	0	1521	0	0	2	0	0	0	0	13	0	0	6040	2839	0	1	0	90	1	5
fsh-generated/resources/StructureDefinition-HIVDTB.json	58336	84	0	0	0	0	0	137	0	147	0	0	1	0	0	0	0	1	0	0	710	638	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-HIVEF.json	145241	174	1	0	0	0	0	371	0	387	0	0	0	0	0	0	0	4	0	0	1768	799	0	0	0	27	0	1
fsh-generated/resources/StructureDefinition-HIVG.json	41681	53	0	0	0	0	0	105	0	111	0	0	0	0	0	0	0	1	0	0	521	236	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-HIVH.json	42515	48	0	0	0	0	0	118	0	107	0	0	1	0	0	0	0	1	0	0	530	285	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-HIVI.json	10509	11	0	0	0	0	0	29	0	27	0	0	0	0	0	0	0	0	0	0	180	79	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-HIVPrevention.json	16486	16	0	0	0	0	0	45	0	40	0	0	0	0	0	0	0	1	0	0	209	104	0	0	0	3	0	1
