"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVPrevention","HIVPrevention","","","",0,*,"","","","null {[]} {[]}
","HIV.Prevention Logical Model","Logical Model for HIV.Prevention data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVPrevention.atElevatedRiskForHivAcquisition","HIVPrevention.atElevatedRiskForHivAcquisition","","","",1,1,"","","","string {[]} {[]}
","At elevated risk for HIV acquisition","Client is at elevated risk for HIV acquisition, defined according to country/programme context","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE1
",,,,"HIVPrevention.atElevatedRiskForHivAcquisition",1,1,"",""
"HIVPrevention.hivPreventionIntervention","HIVPrevention.hivPreventionIntervention","","","",1,1,"","","","string {[]} {[]}
","HIV prevention intervention","HIV prevention intervention that client accessed","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE2
",,,,"HIVPrevention.hivPreventionIntervention",1,1,"",""
"HIVPrevention.prepService","HIVPrevention.prepService","","","",1,1,"","","","string {[]} {[]}
","PrEP service","Client accessed PrEP services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE3
",,,,"HIVPrevention.prepService",1,1,"",""
"HIVPrevention.oamt","HIVPrevention.oamt","","","",1,1,"","","","string {[]} {[]}
","OAMT","Client accessed opioid agonist maintenance treatment (OAMT) services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE4
",,,,"HIVPrevention.oamt",1,1,"",""
"HIVPrevention.nsp","HIVPrevention.nsp","","","",1,1,"","","","string {[]} {[]}
","NSP","Client accessed needle-syringe programme (NSP) services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE5
",,,,"HIVPrevention.nsp",1,1,"",""
"HIVPrevention.stiServices","HIVPrevention.stiServices","","","",1,1,"","","","string {[]} {[]}
","STI services","Client accessed sexually transmitted infection (STI) services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE6
",,,,"HIVPrevention.stiServices",1,1,"",""
"HIVPrevention.vmmc","HIVPrevention.vmmc","","","",1,1,"","","","string {[]} {[]}
","VMMC","Client accessed voluntary medical male circumcision (VMMC) services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE7
",,,,"HIVPrevention.vmmc",1,1,"",""
"HIVPrevention.hpsOther","HIVPrevention.hpsOther","","","",1,1,"","","","string {[]} {[]}
","Other","Client accessed other HIV prevention services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE8
",,,,"HIVPrevention.hpsOther",1,1,"",""
"HIVPrevention.hpsOtherSpecify","HIVPrevention.hpsOtherSpecify","","","",1,1,"","","","string {[]} {[]}
","Other (specify)","Client accessed other HIV prevention services (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE9
",,,,"HIVPrevention.hpsOtherSpecify",1,1,"",""
"HIVPrevention.dateAccessedHivPreventionIntervention","HIVPrevention.dateAccessedHivPreventionIntervention","","","",1,1,"","","","string {[]} {[]}
","Date accessed HIV prevention intervention","Date the client accessed HIV prevention intervention","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE10
",,,,"HIVPrevention.dateAccessedHivPreventionIntervention",1,1,"",""
"HIVPrevention.hivStatusOfContact","HIVPrevention.hivStatusOfContact","","","",1,1,"","","","string {[]} {[]}
","HIV status of contact","The HIV status of the clients contact","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE11
",,,,"HIVPrevention.hivStatusOfContact",1,1,"",""
"HIVPrevention.ccHivPositive","HIVPrevention.ccHivPositive","","","",1,1,"","","","string {[]} {[]}
","HIV-positive","Clients contact is HIV-positive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE12
",,,,"HIVPrevention.ccHivPositive",1,1,"",""
"HIVPrevention.ccHivNegative","HIVPrevention.ccHivNegative","","","",1,1,"","","","string {[]} {[]}
","HIV-negative","Clients contact is HIV-negative","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE13
",,,,"HIVPrevention.ccHivNegative",1,1,"",""
"HIVPrevention.ccUnknown","HIVPrevention.ccUnknown","","","",1,1,"","","","string {[]} {[]}
","Unknown","Client does not know contacts HIV status","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE14
",,,,"HIVPrevention.ccUnknown",1,1,"",""
"HIVPrevention.dateInjectingEquipmentProvided","HIVPrevention.dateInjectingEquipmentProvided","","","",1,1,"","","","string {[]} {[]}
","Date injecting equipment provided","Date client was provided with injecting equipment","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE15
",,,,"HIVPrevention.dateInjectingEquipmentProvided",1,1,"",""
"HIVPrevention.numberOfNeedlesSyringesProvided","HIVPrevention.numberOfNeedlesSyringesProvided","","","",1,1,"","","","string {[]} {[]}
","Number of needles-syringes provided","Number of needles-syringes provided to client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE16
",,,,"HIVPrevention.numberOfNeedlesSyringesProvided",1,1,"",""
"HIVPrevention.dateOamtInitiated","HIVPrevention.dateOamtInitiated","","","",1,1,"","","","string {[]} {[]}
","Date OAMT initiated","Date client initiated opioid agonist maintenance treatment (OAMT)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE17
",,,,"HIVPrevention.dateOamtInitiated",1,1,"",""
"HIVPrevention.dateOamtDoseReceived","HIVPrevention.dateOamtDoseReceived","","","",1,1,"","","","string {[]} {[]}
","Date OAMT dose received","Date client received opioid agonist maintenance treatment (OAMT) dose","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE18
",,,,"HIVPrevention.dateOamtDoseReceived",1,1,"",""
"HIVPrevention.dateOamtTakeAwayDoseSDispensed","HIVPrevention.dateOamtTakeAwayDoseSDispensed","","","",1,1,"","","","string {[]} {[]}
","Date OAMT take-away dose(s) dispensed","Date the client was dispensed opioid agonist maintenance treatment (OAMT) take-away dose(s)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE19
",,,,"HIVPrevention.dateOamtTakeAwayDoseSDispensed",1,1,"",""
"HIVPrevention.currentlyOnOamt","HIVPrevention.currentlyOnOamt","","","",1,1,"","","","string {[]} {[]}
","Currently on OAMT","Client is currently on opioid agonist maintenance treatment (OAMT) at reporting date, defined according to country/program to account for medication dispensed and LTFU criterion","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE20
",,,,"HIVPrevention.currentlyOnOamt",1,1,"",""
"HIVPrevention.retainedOnOamt","HIVPrevention.retainedOnOamt","","","",1,1,"","","","string {[]} {[]}
","Retained on OAMT","Client is retained on opioid agonist maintenance treatment (OAMT) at reporting date, defined according to country/program to account for medication dispensed and LTFU criterion","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE21
",,,,"HIVPrevention.retainedOnOamt",1,1,"",""
"HIVPrevention.clientBeingInductedOnOamt","HIVPrevention.clientBeingInductedOnOamt","","","",1,1,"","","","string {[]} {[]}
","Client being inducted on OAMT","Client is currently being inducted on opioid agonist maintenance treatment (OAMT), defined according to country/program","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE22
",,,,"HIVPrevention.clientBeingInductedOnOamt",1,1,"",""
"HIVPrevention.clientOnReducingDosesOfOamt","HIVPrevention.clientOnReducingDosesOfOamt","","","",1,1,"","","","string {[]} {[]}
","Client on reducing doses of OAMT","Client is current on reducing doses of opioid agonist maintenance treatment (OAMT), defined according to country/program","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE23
",,,,"HIVPrevention.clientOnReducingDosesOfOamt",1,1,"",""
"HIVPrevention.dateFirstMaintenanceDoseReceived","HIVPrevention.dateFirstMaintenanceDoseReceived","","","",1,1,"","","","string {[]} {[]}
","Date first maintenance dose received","First date on which client received maintenance dose","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE24
",,,,"HIVPrevention.dateFirstMaintenanceDoseReceived",1,1,"",""
"HIVPrevention.dateOfLossToFollowUpOrOamtStopped","HIVPrevention.dateOfLossToFollowUpOrOamtStopped","","","",1,1,"","","","string {[]} {[]}
","Date of loss to follow-up or OAMT stopped","Date of loss to follow-up or opioid agonist maintenance treatment (OAMT) stopped","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE25
",,,,"HIVPrevention.dateOfLossToFollowUpOrOamtStopped",1,1,"",""
"HIVPrevention.dateMedicationsDispensed","HIVPrevention.dateMedicationsDispensed","","","",1,1,"","","","string {[]} {[]}
","Date medications dispensed","Date the client was dispensed medications","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE26
",,,,"HIVPrevention.dateMedicationsDispensed",1,1,"",""
"HIVPrevention.dateMedicationsPrescribed","HIVPrevention.dateMedicationsPrescribed","","","",1,1,"","","","string {[]} {[]}
","Date medications prescribed","Date the client was prescribed medications","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention#DE27
",,,,"HIVPrevention.dateMedicationsPrescribed",1,1,"",""
