"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HIVA","HIVA","HIVA","","","",0,*,"","","","null {[]} {[]}
","HIV.A Registration Logical Model","Logical Model for HIV.A Registration data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVA","HIVA.firstName","HIVA.firstName","","","",1,1,"","","","string {[]} {[]}
","First name","Clients first or given name","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE1
",,,,"HIVA.firstName",1,1,"",""
"HIVA","HIVA.familyName","HIVA.familyName","","","",1,1,"","","","string {[]} {[]}
","Family name","Clients family name or last name","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE2
",,,,"HIVA.familyName",1,1,"",""
"HIVA","HIVA.visitDate","HIVA.visitDate","","","",1,1,"","","","string {[]} {[]}
","Visit date","The date and time of the clients visit","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE3
",,,,"HIVA.visitDate",1,1,"",""
"HIVA","HIVA.referral","HIVA.referral","","","",1,1,"","","","string {[]} {[]}
","Referral","If client was referred for care","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE4
",,,,"HIVA.referral",1,1,"",""
"HIVA","HIVA.referredBy","HIVA.referredBy","","","",1,1,"","","","string {[]} {[]}
","Referred by","How the client was referred","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE5
",,,,"HIVA.referredBy",1,1,"",""
"HIVA","HIVA.community","HIVA.community","","","",1,1,"","","","string {[]} {[]}
","Community","Referred by the community level services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE6
",,,,"HIVA.community",1,1,"",""
"HIVA","HIVA.facility","HIVA.facility","","","",1,1,"","","","string {[]} {[]}
","Facility","Referred by the health facility","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE7
",,,,"HIVA.facility",1,1,"",""
"HIVA","HIVA.uniqueIdentifier","HIVA.uniqueIdentifier","","","",1,1,"","","","string {[]} {[]}
","Unique identifier","Unique identifier generated for new clients or a universal ID, if used in the country","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE8
",,,,"HIVA.uniqueIdentifier",1,1,"",""
"HIVA","HIVA.nationalId","HIVA.nationalId","","","",1,1,"","","","string {[]} {[]}
","National ID","National unique identifier assigned to the client, if used in the country","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE9
",,,,"HIVA.nationalId",1,1,"",""
"HIVA","HIVA.nationalHealthId","HIVA.nationalHealthId","","","",1,1,"","","","string {[]} {[]}
","National health ID","National health unique identifier assigned to the client, if used in the country","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A#DE10
",,,,"HIVA.nationalHealthId",1,1,"",""
