"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVH","HIVH","","","",0,*,"","","","null {[]} {[]}
","HIV.H Follow-up Logical Model","Logical Model for HIV.H Follow-up data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVH.reasonForFollowUp","HIVH.reasonForFollowUp","","","",1,1,"","","","string {[]} {[]}
","Reason for follow-up","The reason why the client is being followed up","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE1
",,,,"HIVH.reasonForFollowUp",1,1,"",""
"HIVH.missedCareVisit","HIVH.missedCareVisit","","","",1,1,"","","","string {[]} {[]}
","Missed care visit","Client did not present for a care appointment as scheduled / as expected","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE2
",,,,"HIVH.missedCareVisit",1,1,"",""
"HIVH.missedMedicationPickup","HIVH.missedMedicationPickup","","","",1,1,"","","","string {[]} {[]}
","Missed medication pickup","Client did not pick up medication as scheduled from pharmacy or other drug distribution point","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE3
",,,,"HIVH.missedMedicationPickup",1,1,"",""
"HIVH.didNotInitiateArt","HIVH.didNotInitiateArt","","","",1,1,"","","","string {[]} {[]}
","Did not initiate ART","Client did not initiate ART at the same time as diagnosis (e.g., because they required additional counselling) and required follow-up for ART initiation","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE4
",,,,"HIVH.didNotInitiateArt",1,1,"",""
"HIVH.incompleteVisit","HIVH.incompleteVisit","","","",1,1,"","","","string {[]} {[]}
","Incomplete visit","Client presented for care, but left before services were completed, e.g., due to long wait times or not staying to have labs taken","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE5
",,,,"HIVH.incompleteVisit",1,1,"",""
"HIVH.inconclusiveHivStatus","HIVH.inconclusiveHivStatus","","","",1,1,"","","","string {[]} {[]}
","Inconclusive HIV status","Client has not returned for a follow-up test after an inconclusive test result","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE6
",,,,"HIVH.inconclusiveHivStatus",1,1,"",""
"HIVH.testResultsReceived","HIVH.testResultsReceived","","","",1,1,"","","","string {[]} {[]}
","Test results received","Client needs to be informed of test results (e.g., viral load)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE7
",,,,"HIVH.testResultsReceived",1,1,"",""
"HIVH.otherFollowUpReason","HIVH.otherFollowUpReason","","","",1,1,"","","","string {[]} {[]}
","Other follow-up reason","Client was followed up for another reason","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE8
",,,,"HIVH.otherFollowUpReason",1,1,"",""
"HIVH.otherFollowUpReasonSpecify","HIVH.otherFollowUpReasonSpecify","","","",1,1,"","","","string {[]} {[]}
","Other follow-up reason (specify)","Client was followed up for another reason (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE9
",,,,"HIVH.otherFollowUpReasonSpecify",1,1,"",""
"HIVH.clientContactAttempted","HIVH.clientContactAttempted","","","",1,1,"","","","string {[]} {[]}
","Client contact attempted","An attempt to locate the client was made","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE10
",,,,"HIVH.clientContactAttempted",1,1,"",""
"HIVH.dateOfContactAttempt","HIVH.dateOfContactAttempt","","","",1,1,"","","","string {[]} {[]}
","Date of contact attempt","Date of attempt to contact client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE11
",,,,"HIVH.dateOfContactAttempt",1,1,"",""
"HIVH.contactAttemptedBy","HIVH.contactAttemptedBy","","","",1,1,"","","","string {[]} {[]}
","Contact attempted by","Who attempted to reach out to the client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE12
",,,,"HIVH.contactAttemptedBy",1,1,"",""
"HIVH.contactMethod","HIVH.contactMethod","","","",1,1,"","","","string {[]} {[]}
","Contact method","Method used to try to reach out to the client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE13
",,,,"HIVH.contactMethod",1,1,"",""
"HIVH.homeVisit","HIVH.homeVisit","","","",1,1,"","","","string {[]} {[]}
","Home visit","Contacted client at home","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE14
",,,,"HIVH.homeVisit",1,1,"",""
"HIVH.textMessage","HIVH.textMessage","","","",1,1,"","","","string {[]} {[]}
","Text message","Contacted client by short message service (SMS) text","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE15
",,,,"HIVH.textMessage",1,1,"",""
"HIVH.phone","HIVH.phone","","","",1,1,"","","","string {[]} {[]}
","Phone","Contacted client by phone call","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE16
",,,,"HIVH.phone",1,1,"",""
"HIVH.sourceOfInformation","HIVH.sourceOfInformation","","","",1,1,"","","","string {[]} {[]}
","Source of information","Source of information about the client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE17
",,,,"HIVH.sourceOfInformation",1,1,"",""
"HIVH.client","HIVH.client","","","",1,1,"","","","string {[]} {[]}
","Client","The client was the source of information","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE18
",,,,"HIVH.client",1,1,"",""
"HIVH.informedByTreatmentProvider","HIVH.informedByTreatmentProvider","","","",1,1,"","","","string {[]} {[]}
","Informed by treatment provider","Source of information was a treatment provider of the client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE19
",,,,"HIVH.informedByTreatmentProvider",1,1,"",""
"HIVH.informedByFamilyOrPartner","HIVH.informedByFamilyOrPartner","","","",1,1,"","","","string {[]} {[]}
","Informed by family or partner","Source of information was a family member of partner","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE20
",,,,"HIVH.informedByFamilyOrPartner",1,1,"",""
"HIVH.otherSourceOfInformation","HIVH.otherSourceOfInformation","","","",1,1,"","","","string {[]} {[]}
","Other source of information","Information about the clients status was provided by someone else","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE21
",,,,"HIVH.otherSourceOfInformation",1,1,"",""
"HIVH.otherSourceOfInformationSpecify","HIVH.otherSourceOfInformationSpecify","","","",1,1,"","","","string {[]} {[]}
","Other source of information (specify)","Information about the clients status was provided by someone else (specify)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE22
",,,,"HIVH.otherSourceOfInformationSpecify",1,1,"",""
"HIVH.outcomeFromOutreachAttempt","HIVH.outcomeFromOutreachAttempt","","","",1,1,"","","","string {[]} {[]}
","Outcome from outreach attempt","Detailed outcome from the attempt to locate the client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE23
",,,,"HIVH.outcomeFromOutreachAttempt",1,1,"",""
"HIVH.returningToClinic","HIVH.returningToClinic","","","",1,1,"","","","string {[]} {[]}
","Returning to clinic","Client was located and agreed to return to clinic","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE24
",,,,"HIVH.returningToClinic",1,1,"",""
"HIVH.selfTransferredOut","HIVH.selfTransferredOut","","","",1,1,"","","","string {[]} {[]}
","Self-transferred out","Client transferred to another facility for care (client-initiated transfer, not provider-initiated transfer)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H#DE25
",,,,"HIVH.selfTransferredOut",1,1,"",""
