"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVI","HIVI","","","",0,*,"","","","null {[]} {[]}
","HIV.I Referral Logical Model","Logical Model for HIV.I Referral data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVI.emergencyReferral","HIVI.emergencyReferral","","","",1,1,"","","","string {[]} {[]}
","Emergency referral","Referral for urgent care","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.I#DE1
",,,,"HIVI.emergencyReferral",1,1,"",""
"HIVI.reasonForReferral","HIVI.reasonForReferral","","","",1,1,"","","","string {[]} {[]}
","Reason for referral","Reason why the client is being referred. If diagnosed, this may include the reason for the diagnosis.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.I#DE2
",,,,"HIVI.reasonForReferral",1,1,"",""
"HIVI.hospital","HIVI.hospital","","","",1,1,"","","","string {[]} {[]}
","Hospital","Clients clinical status warrants hospitalization","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.I#DE3
",,,,"HIVI.hospital",1,1,"",""
"HIVI.referralForScreeningIncludingDiagnosticsAndLabTesting","HIVI.referralForScreeningIncludingDiagnosticsAndLabTesting","","","",1,1,"","","","string {[]} {[]}
","Referral for screening including diagnostics and lab testing","The client is referred because they need a lab test done and/or diagnostics done, but those services are unavailable at the current health facility or providers. This includes referral for TB screening (is symptomatic of TB, has had close contact with confirmed TB case, etc.) and other comorbidities or coinfections.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.I#DE4
",,,,"HIVI.referralForScreeningIncludingDiagnosticsAndLabTesting",1,1,"",""
"HIVI.tbReferral","HIVI.tbReferral","","","",1,1,"","","","string {[]} {[]}
","TB referral","Referral for TB care","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.I#DE5
",,,,"HIVI.tbReferral",1,1,"",""
"HIVI.antenatalCareReferral","HIVI.antenatalCareReferral","","","",1,1,"","","","string {[]} {[]}
","Antenatal care referral","Client was referred because the client is pregnant","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.I#DE6
",,,,"HIVI.antenatalCareReferral",1,1,"",""
"HIVI.referralForOtherGeneralServices","HIVI.referralForOtherGeneralServices","","","",1,1,"","","","string {[]} {[]}
","Referral for other general services","If none of the reasons above apply, this should be selected","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.I#DE7
",,,,"HIVI.referralForOtherGeneralServices",1,1,"",""
"HIVI.referralForOtherGeneralServicesSpecify","HIVI.referralForOtherGeneralServicesSpecify","","","",1,1,"","","","string {[]} {[]}
","Referral for other general services (specify)","If none of the reasons above apply, specify the reason(s)","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.I#DE8
",,,,"HIVI.referralForOtherGeneralServicesSpecify",1,1,"",""
"HIVI.anyTreatmentGivenBeforeReferral","HIVI.anyTreatmentGivenBeforeReferral","","","",1,1,"","","","string {[]} {[]}
","Any treatment given before referral?","If client was referred, was any treatment provided before referral?","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.I#DE9
",,,,"HIVI.anyTreatmentGivenBeforeReferral",1,1,"",""
"HIVI.dateOfScheduledReferralAppointment","HIVI.dateOfScheduledReferralAppointment","","","",1,1,"","","","string {[]} {[]}
","Date of scheduled referral appointment","When the referral is scheduled","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.I#DE10
",,,,"HIVI.dateOfScheduledReferralAppointment",1,1,"",""
"HIVI.locationOfScheduledReferralAppointment","HIVI.locationOfScheduledReferralAppointment","","","",1,1,"","","","string {[]} {[]}
","Location of scheduled referral appointment","Where the client is being referred to","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.I#DE11
",,,,"HIVI.locationOfScheduledReferralAppointment",1,1,"",""
"HIVI.dateReferralWasMade","HIVI.dateReferralWasMade","","","",1,1,"","","","string {[]} {[]}
","Date referral was made","The date the referral was made","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.I#DE12
",,,,"HIVI.dateReferralWasMade",1,1,"",""
