Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.hiv.json	14917	-	0	0	1	0	0	0	9	82	0	0	0	0	0	0	0	1	0	0	151	114	0	0	1	5	0	1
fsh-generated/resources/CodeSystem-HIV.A.json	8417	16	0	0	0	1	0	0	1	33	0	0	0	0	0	0	0	0	0	0	57	1555	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIV.B.json	52823	71	1	0	0	0	0	0	4	119	0	0	0	0	0	0	0	2	0	0	314	199	0	0	0	10	0	1
fsh-generated/resources/CodeSystem-HIV.C.json	29926	30	0	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	0	182	84	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-HIV.Configuration.json	5157	5	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	43	39	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIV.D.json	176035	172	1	0	0	0	0	0	6	618	0	0	7	0	0	0	0	2	0	0	1119	463	0	0	0	39	0	1
fsh-generated/resources/CodeSystem-HIV.EF.json	45437	46	1	0	0	0	0	0	1	92	0	0	0	0	0	0	0	1	0	0	250	93	0	0	0	9	0	1
fsh-generated/resources/CodeSystem-HIV.G.json	12271	15	0	0	0	0	0	0	1	24	0	0	1	0	0	0	0	0	0	0	72	45	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-HIV.H.json	13239	15	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	76	41	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIV.I.json	3717	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	25	34	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIV.Prevention.json	5112	6	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	33	29	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-HIV.BHTSVisit.json	96521	117	0	0	0	0	0	0	7	23420	0	0	0	0	0	0	0	1	0	0	679	264	0	0	0	15	0	2
fsh-generated/resources/ConceptMap-HIV.D.HIVTB.json	47218	58	0	0	0	0	0	0	3	11058	0	0	0	0	0	0	0	1	0	0	322	89	0	0	0	7	0	1
fsh-generated/resources/ConceptMap-HIV.EF.PMTCT.json	97239	118	0	0	0	0	0	0	7	21757	0	0	0	0	0	0	0	1	0	0	653	367	0	0	0	15	0	2
fsh-generated/resources/ConceptMap-HIV.Prevention.json	8607	11	0	0	0	0	0	0	1	1355	1	0	0	0	0	0	0	0	0	0	62	39	0	0	0	2	0	1
