Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.hiv.json	15437	-	0	0	0	0	0	0	10	73	0	0	0	0	0	0	0	1	0	0	134	110	0	0	0	4	0	4
fsh-generated/resources/CodeSystem-HIV.A.json	8417	9	0	0	0	0	0	0	1	31	0	0	1	0	0	0	0	0	0	0	72	3145	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIV.B.json	52823	11	1	0	0	0	0	0	4	68	0	0	0	0	0	0	0	1	0	0	294	258	0	0	0	7	0	2
fsh-generated/resources/CodeSystem-HIV.C.json	29926	8	0	0	0	0	0	0	3	35	0	0	0	0	0	0	0	0	0	0	173	179	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-HIV.Configuration.json	5157	9	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	48	83	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIV.D.json	176035	15	2	0	0	0	0	0	12	367	0	0	1	0	0	0	0	2	0	0	984	613	0	0	0	24	0	4
fsh-generated/resources/CodeSystem-HIV.EF.json	45437	10	0	0	0	0	0	0	3	42	0	0	0	0	0	0	0	0	0	0	264	249	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-HIV.G.json	12271	17	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	107	114	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-HIV.H.json	13239	18	1	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	127	104	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIV.I.json	3717	7	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	52	95	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIV.Prevention.json	5112	8	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	60	95	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-HIV.BHTSVisit.json	96521	12	0	0	0	0	0	0	15	29773	0	0	0	0	0	0	0	1	0	0	692	191	0	0	0	11	0	6
fsh-generated/resources/ConceptMap-HIV.D.HIVTB.json	47218	10	0	0	0	0	0	0	6	14427	0	0	0	0	0	0	0	0	0	0	339	109	0	0	0	5	0	2
fsh-generated/resources/ConceptMap-HIV.EF.PMTCT.json	97239	12	0	0	0	0	0	0	14	27037	0	0	0	0	0	0	0	1	0	0	682	200	0	0	0	11	0	5
fsh-generated/resources/ConceptMap-HIV.Prevention.json	8607	7	1	0	0	0	0	0	1	1759	0	0	0	0	0	0	0	0	0	0	74	59	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-HIVARegistration.json	19211	8	0	0	0	0	0	0	3	5407	0	0	0	0	0	0	0	0	0	0	137	73	0	0	0	2	0	1
fsh-generated/resources/ConceptMap-HIVCPrEP.json	87304	12	0	0	0	0	0	0	12	26136	0	0	0	0	0	0	0	1	0	0	593	157	0	0	0	10	0	4
fsh-generated/resources/ConceptMap-HIVConfiguration.json	989	7	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	25	38	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-HIVDCareTreatment.json	363997	47	0	0	0	0	0	0	51	109363	0	0	0	0	0	0	0	3	0	0	2412	365	0	0	0	43	0	14
fsh-generated/resources/ConceptMap-HIVGDiagnostics.json	27798	9	0	0	0	0	0	0	4	4692	0	0	0	0	0	0	0	0	0	0	204	66	0	0	0	3	0	1
