Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-who.fhir.hiv.json	15437	-	0	0	0	0	0	0	8	61	0	0	0	0	0	0	0	1	0	0	111	108	0	0	0	8	0	1
fsh-generated/resources/CodeSystem-HIV.A.json	8417	9	0	0	0	0	0	0	1	35	0	0	1	0	0	0	0	0	0	0	54	2231	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIV.B.json	52823	14	1	0	0	0	0	0	6	76	0	0	0	0	0	0	0	1	0	0	338	242	0	0	0	7	0	1
fsh-generated/resources/CodeSystem-HIV.C.json	29926	5	0	0	0	0	0	0	3	38	0	0	0	0	0	0	0	0	0	0	159	122	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-HIV.Configuration.json	5157	4	1	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	37	59	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIV.D.json	176035	11	1	0	0	0	0	0	10	328	0	0	1	0	0	0	0	3	0	0	917	585	0	0	0	24	0	2
fsh-generated/resources/CodeSystem-HIV.EF.json	45437	7	1	0	0	0	0	0	2	35	0	0	0	0	0	0	0	0	0	0	229	114	0	0	0	6	0	0
fsh-generated/resources/CodeSystem-HIV.G.json	12271	8	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	67	63	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIV.H.json	13239	8	1	0	0	0	0	0	0	46	0	0	0	0	0	0	0	1	0	0	71	61	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-HIV.I.json	3717	7	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	30	46	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIV.Prevention.json	5112	7	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	34	49	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-HIV.BHTSVisit.json	96521	9	0	0	0	0	0	0	9	10823	0	0	0	0	0	0	0	1	0	0	639	172	0	0	0	10	0	2
fsh-generated/resources/ConceptMap-HIV.D.HIVTB.json	47218	6	0	0	0	0	0	0	4	5356	0	0	0	0	0	0	0	1	0	0	308	98	0	0	0	5	0	1
fsh-generated/resources/ConceptMap-HIV.EF.PMTCT.json	97239	8	1	0	0	0	0	0	9	10472	0	0	0	0	0	0	0	1	0	0	646	161	0	0	0	11	0	2
fsh-generated/resources/ConceptMap-HIV.Prevention.json	8607	4	0	0	0	0	0	0	0	664	0	0	0	0	0	0	0	0	0	0	61	33	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-HIVARegistration.json	19211	5	0	0	0	0	0	0	2	2193	0	0	0	0	0	0	0	1	0	0	123	48	0	1	0	2	0	1
fsh-generated/resources/ConceptMap-HIVCPrEP.json	87304	11	0	0	0	0	0	0	8	9892	0	0	0	0	0	0	0	1	0	0	564	333	0	0	0	9	0	1
fsh-generated/resources/ConceptMap-HIVConfiguration.json	989	6	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	13	25	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-HIVDCareTreatment.json	363997	23	0	0	0	0	0	0	33	51046	0	0	0	0	0	0	0	3	0	0	2341	529	0	0	0	42	0	8
fsh-generated/resources/ConceptMap-HIVGDiagnostics.json	27798	5	0	0	0	0	0	0	3	2273	0	0	0	0	0	0	0	1	0	0	185	56	0	0	0	3	0	0
fsh-generated/resources/ConceptMap-HIVHFollowUp.json	24826	4	1	0	0	0	0	0	2	2570	0	0	0	0	0	0	0	0	0	0	165	54	0	0	0	2	0	1
fsh-generated/resources/ConceptMap-HIVIReferral.json	8300	5	0	0	0	0	0	0	0	963	0	0	0	0	0	0	0	0	0	0	60	35	0	0	0	1	0	0
fsh-generated/resources/Library-f185bb76-c298-4671-9be3-ccc94c0a9868.json	4145	4	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	26	13	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-HIVA.json	27541	5	0	0	0	0	0	20	0	56	0	0	0	0	0	0	0	0	0	0	327	991	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-HIVB.json	174567	12	0	0	0	0	0	83	0	185	0	0	1	0	0	0	0	3	0	0	1940	1886	0	0	0	32	1	3
fsh-generated/resources/StructureDefinition-HIVC.json	92890	8	0	0	0	0	0	53	0	107	0	0	0	0	0	0	0	1	0	0	1022	676	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-HIVConfiguration.json	14921	5	0	0	0	0	0	36	0	22	0	0	0	0	0	0	0	1	0	1	170	120	0	0	0	2	0	0
